//--------------------------------------------------------------------------------------------------//
// Time Settings                                                                                    //
// Castle Doors Open (Min)      Event Duration (Min)   Close After Divine Weapon Is Delivered (Min) //
//--------------------------------------------------------------------------------------------------//
0
	5				15				1
end

//--------------------------------------------------------------------------------------------------//
// Configurations                                                                                   //
// Item Drop Rate (10/N)       Excellent Item Drop Rate (1/N)        Time For Item Disappear (Min)  //
//--------------------------------------------------------------------------------------------------//
1
	100				1200				1
end

//--------------------------------------------------------------------------------------------------//
// Castle Doors                                                                                     //
// BloodCastle Lvl                 Crystal Statue Heal            Blood Castle Door Heal            //
//--------------------------------------------------------------------------------------------------//
2
	0				65000				150000
	1				105000				205000
	2				145000				260000
	3				185000				325000
	4				225000				400000
	5				265000				480000
	6				305000				565000
	7				345000				650000
end

//--------------------------------------------------------------------------------------------------//
// Experience Calc                                                                                  //
// Blood Castle Lvl                  Experience	  				                    //
//--------------------------------------------------------------------------------------------------//
3
	0				1.0
	1				1.0
	2				1.0
	3				1.0
	4				1.0
	5				1.0
	6				1.0
	7				1.0
end

//--------------------------------------------------------------------------------------------------//
// Event Schedules                                                                                  //
// Hours (24 Format)   Minutes (59 Format) 						            //
//--------------------------------------------------------------------------------------------------//
4
	1	30
	3	30
	5	30
	7	30
	9	30
	11	30
	13	30
	15	30
	17	30
	19	30
	21	30
	23	30
end
